index,type,sentence,label
0,train,I am waiting for your quick response.,OTHER
1,train,The Group is very price competitive on all its products due to its low overhead structure.,MOTIVATION
2,train,As I am not very sure of getting your consent on the issue I prefer not to divulge my full identity so as not to risk being disbarred.,OTHER
3,train,All I have to do is amend the will or add a codicil to make you the beneficiary to the $7million legacy.,BENEFITS
4,train,REQUEST FOR YOUR UNRESERVED ASSISTANCE.,PURPOSE
5,train,Congratulations once again from all our staff.,OTHER
6,train,"The total amount is US$7.2Million dollars in cash, mostly 100 dollar bills. ",MOTIVATION
7,train,I do not know your person but I am relying on faith to see me through.,RAPPORT
8,train,I also intend to visit your country soonest in order to inquire areas of possible business investment.,RAPPORT
9,train,I found your contact while I was doing a private research on the Internet for a reliable and capable foreign partner that will assist my family and I.,RAPPORT
10,train,The proposed should be kept strictly and confidential due to my present position in the government as a senator.,RAPPORT
11,train,"I therefore decided to move my mother and younger sister to the Republic of South Africa,where we presently live without anything and without any source of livelyhood. ",MOTIVATION
12,train,"Within the Department of Mining & Natural Resources where I work as an Executive Accountant and with the cooperation of four other top officials, we have in our possession as overdue payment bills totaling Eighteen Million, Five Hundred Thousand U. S. Dollars (US$18,500,000.00) which we want to transfer abroad with the assistance and cooperation of a foreign company/individual to receive the said fund on our behalf or a reliable foreign non-company account to receive such funds. ",MOTIVATION
13,train,In addition to the quarries Wanlistone has a fully automated processing plant for the processing of the granite and marble and granite products.,OTHER
14,train,But when it became ap! parent that president Kabila has been killed in a bloody shoot out by one of his aids.,MOTIVATION
15,train,"The products are high power, high capacity and long life, which deeply welcomed by home and foreign customers. ",MOTIVATION
16,train,Please assure me of your keeping this topmost secret to protect my job with the US Monitoring and Peace-Keeping mission. please you can contact me with my private mailbox...... capt.james_brianusmarine5@yahoo.com,RAPPORT
17,train,"If you agree to render us your assistance, your role in this project will be to act on my behalf as a trustee to receive the safety deposit containing the funds from the Security firm. ",PURPOSE
18,train,The bank has issued me a notice to provide the next of kin or have the account confisicated within the next ten official working days.,MOTIVATION
